time,x_diff,y_diff,theta_diff,x_ackermann,y_ackermann,theta_ackermann
6.360000,6.195443,1.098991,0.237999,6.195443,1.098991,0.237999
6.370000,6.205161,1.101348,0.236538,6.205161,1.101348,0.236538
6.380000,6.214883,1.103692,0.235078,6.214883,1.103692,0.235078
6.390000,6.224608,1.106021,0.233618,6.224608,1.106021,0.233618
6.400000,6.234336,1.108336,0.232158,6.234336,1.108336,0.232158
6.410000,6.244068,1.110637,0.230698,6.244068,1.110637,0.230698
6.420000,6.253803,1.112923,0.229238,6.253803,1.112923,0.229238
6.430000,6.263541,1.115196,0.227778,6.263541,1.115196,0.227778
6.440000,6.273283,1.117454,0.226318,6.273283,1.117454,0.226318
6.450000,6.283028,1.119698,0.224858,6.283028,1.119698,0.224858
6.460000,6.292776,1.121927,0.223397,6.292776,1.121927,0.223397
6.470000,6.302528,1.124143,0.221937,6.302528,1.124143,0.221937
6.480000,6.312283,1.126344,0.220477,6.312283,1.126344,0.220477
6.490000,6.322041,1.128531,0.219017,6.322041,1.128531,0.219017
6.500000,6.331802,1.130704,0.217557,6.331802,1.130704,0.217557
6.510000,6.341566,1.132862,0.216097,6.341566,1.132862,0.216097
6.520000,6.351333,1.135006,0.214637,6.351333,1.135006,0.214637
6.530000,6.361104,1.137136,0.213177,6.361104,1.137136,0.213177
6.540000,6.370877,1.139252,0.211717,6.370877,1.139252,0.211717
6.550000,6.380654,1.141353,0.210256,6.380654,1.141353,0.210256
6.560000,6.390434,1.143440,0.208796,6.390434,1.143440,0.208796
6.570000,6.400217,1.145513,0.207336,6.400217,1.145513,0.207336
6.580000,6.410003,1.147572,0.205876,6.410003,1.147572,0.205876
6.590000,6.419791,1.149616,0.204416,6.419791,1.149616,0.204416
6.600000,6.429583,1.151646,0.202956,6.429583,1.151646,0.202956
6.610000,6.439378,1.153661,0.201496,6.439378,1.153661,0.201496
6.620000,6.449176,1.155663,0.200036,6.449176,1.155663,0.200036
6.630000,6.458976,1.157650,0.198576,6.458976,1.157650,0.198576
6.640000,6.468780,1.159623,0.197115,6.468780,1.159623,0.197115
6.650000,6.478586,1.161581,0.195655,6.478586,1.161581,0.195655
6.660000,6.488395,1.163525,0.194195,6.488395,1.163525,0.194195
6.670000,6.498207,1.165455,0.192735,6.498207,1.165455,0.192735
6.680000,6.508022,1.167370,0.191275,6.508022,1.167370,0.191275
6.690000,6.517840,1.169271,0.189815,6.517840,1.169271,0.189815
6.700000,6.527660,1.171158,0.188355,6.527660,1.171158,0.188355
6.710000,6.537483,1.173031,0.186895,6.537483,1.173031,0.186895
6.720000,6.547309,1.174889,0.185434,6.547309,1.174889,0.185434
6.730000,6.557138,1.176732,0.183974,6.557138,1.176732,0.183974
6.740000,6.566969,1.178562,0.182514,6.566969,1.178562,0.182514
6.750000,6.576803,1.180377,0.181054,6.576803,1.180377,0.181054
6.760000,6.586639,1.182178,0.179594,6.586639,1.182178,0.179594
6.770000,6.596479,1.183964,0.178134,6.596479,1.183964,0.178134
